,単位,明　　治　　31,,明　　治　　32,,明　　　治　　　33,,明　　治　　34,,明　　治　　35,,明　　治　　36,,明　　治　　37,,明　　治　　38,,明　　治　　39,,明　　治　　40,,明　　治　　41,,明　　治　　42,,明　　治　　43,,明　　治　　44,,大　　正　　１,,大　　正　　２,,大　　正　　３,,大　　正　　４,,大　　正　　５,,大　　正　　６,,大　　正　　７,,大　　正　　８,,大　　正　　９,,以μ．,大　　正　　10,大　　正　　11,,大　　正　　12,,大　　正　　13,
,,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,ＸＩ”,数　量,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額
1/　（粉炭）,トッ,-,-,ー,-,-,-,-,-,16,133,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
コークス,卜Ｖ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,360,30,540,20,333,５,80,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
その他鉱産物,,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,●●●,888,●●●,"1,352",■●■,"4,351",●●●,"5,271",盍幽幽,"16,403",●●●,"17,780",,●●●,●●●,"7,684",●●●,106,92,509
毛皮,枚,"8,776","39,349","6,483","42,288","4,601","37,971","4,952","32,572","5,656","40,551","7,748","156,992","6,013","112,021","10,041","102,408","1,858","47,810","2,085","43,315",-,-,437,"8,727",28,"9,324","1,601","23,950",432,"8,247","10,691","8,079",,"4,389",●●■,"1,374",ａ●●,396,●●●,"1,969",●●●,"3,028",,"1,314",●●●,383,,●●●,●●・,165,●●●,"15,738",●●●,"12,669"
鮑殼,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"102,500","1,434","30,260",357,"146,850","1,808","58,047",758,"19,800",211,"82,870",737,"65,100",724,-,-,-,一,-,-,-,-,,-,-,-,-,-,-,-
鹿角,斤,"12,626","4,515","1,111""","3,328","2,673","1,879",-,-,-,-,-,-,-,-,-,-,-,-,900,362,460,891,"1,080",654,60,90,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
黄柏皮,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"29,746",909,"260,871","8,848","198,790","4,975","236,310","5,637",-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
